序号,大包号,客户来源,创建时间(UTC+08:00),来源仓,计费重,预计件数,实际件数,渠道,状态,目的国,起运港,目的港,MBL提单号,分单号,业务编号,箱号,封号,装箱时间(UTC+08:00),装箱人,仓干交接时间(UTC+08:00),仓干交接人,清关口岸,提单收件人,批次号,车牌号
558,KRRM04320864,AE海运,2026-05-14 10:33:12,威海心怡优选分拨仓,16270.000,11,11,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:15:01,韩龙盼,2026-05-14 10:34:50,谭业臣,,,D001563-W260514-0017,LFCE621
559,KRRM04320793,AE海运,2026-05-14 10:33:12,威海心怡优选分拨仓,14100.000,7,7,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:15:36,韩龙盼,2026-05-14 10:34:45,谭业臣,,,D001563-W260514-0017,LFCE621
560,KRRM04320906,AE海运,2026-05-14 10:33:12,威海心怡优选分拨仓,16379.000,5,5,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:13:50,韩龙盼,2026-05-14 10:34:55,崔言芹,,,D001563-W260514-0017,LFCE621
561,KRRM04320901,AE海运,2026-05-14 10:33:12,威海心怡优选分拨仓,14610.000,5,5,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:15:30,韩龙盼,2026-05-14 10:34:38,谭业臣,,,D001563-W260514-0017,LFCE621
562,KRRM04320893,AE海运,2026-05-14 10:33:12,威海心怡优选分拨仓,18560.000,7,7,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:13:46,韩龙盼,2026-05-14 10:35:05,崔言芹,,,D001563-W260514-0017,LFCE621
563,KRRM04317770,AE海运,2026-05-14 09:59:40,威海泓信优选分拨仓,2717.000,1,1,L_AE_STANDARD_SEA_XTW_HJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 13:41:05,谭军,2026-05-14 10:09:12,丛焕楷,,,D001630-W260514-0008,LFEF086
564,KRRM04318973,AE海运,2026-05-14 09:59:40,威海泓信优选分拨仓,5349.000,1,1,L_AE_STANDARD_SEA_XTW_HJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 13:40:55,谭军,2026-05-14 10:09:17,丛焕楷,,,D001630-W260514-0008,LFEF086
565,KRRM04318415,AE海运,2026-05-14 09:59:40,威海泓信优选分拨仓,7130.000,1,1,L_AE_STANDARD_SEA_XTW_HJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 13:40:58,谭军,2026-05-14 10:09:21,丛焕楷,,,D001630-W260514-0008,LFEF086
566,KRRM04320082,AE海运,2026-05-14 09:59:40,威海泓信优选分拨仓,17000.000,15,15,L_AE_STANDARD_SEA_XTW_HJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 13:41:32,谭军,2026-05-14 10:09:16,丛焕楷,,,D001630-W260514-0008,LFEF086
567,KRRM04320878,AE海运,2026-05-14 09:59:40,威海泓信优选分拨仓,14900.000,8,8,L_AE_STANDARD_SEA_XTW_HJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 13:41:27,谭军,2026-05-14 10:09:14,丛焕楷,,,D001630-W260514-0008,LFEF086
568,KRRM04320028,AE海运,2026-05-14 09:59:40,威海泓信优选分拨仓,20800.000,23,23,L_AE_STANDARD_SEA_XTW_HJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 13:41:34,谭军,2026-05-14 10:09:13,丛焕楷,,,D001630-W260514-0008,LFEF086
569,KRRM04318422,AE海运,2026-05-14 09:59:40,威海泓信优选分拨仓,6049.000,1,1,L_AE_STANDARD_SEA_XTW_HJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 13:41:11,谭军,2026-05-14 10:09:24,丛焕楷,,,D001630-W260514-0008,LFEF086
570,KRRM04320205,AE海运,2026-05-14 09:59:40,威海泓信优选分拨仓,19500.000,25,25,L_AE_STANDARD_SEA_XTW_HJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 13:41:35,谭军,2026-05-14 10:10:13,丛焕楷,,,D001630-W260514-0008,LFEF086
571,KRRM04320377,AE海运,2026-05-14 09:58:05,威海泓信优选分拨仓,9600.000,7,7,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:49:52,韩龙盼,2026-05-14 10:08:39,丛焕楷,,,D001630-W260514-0002,LFEF086
572,KRRM04320468,AE海运,2026-05-14 09:58:05,威海泓信优选分拨仓,8000.000,11,11,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:49:58,韩龙盼,2026-05-14 10:08:41,丛焕楷,,,D001630-W260514-0002,LFEF086
573,KRRM04320369,AE海运,2026-05-14 09:58:05,威海泓信优选分拨仓,9900.000,12,12,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:50:13,韩龙盼,2026-05-14 10:08:50,丛焕楷,,,D001630-W260514-0002,LFEF086
574,KRRM04320382,AE海运,2026-05-14 09:58:05,威海泓信优选分拨仓,15800.000,16,16,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:44:26,韩龙盼,2026-05-14 10:08:33,丛焕楷,,,D001630-W260514-0002,LFEF086
575,KRRM04320413,AE海运,2026-05-14 09:58:05,威海泓信优选分拨仓,13600.000,13,13,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:41:24,韩龙盼,2026-05-14 10:08:48,丛焕楷,,,D001630-W260514-0002,LFEF086
576,KRRM04318766,AE海运,2026-05-14 09:58:05,威海泓信优选分拨仓,19800.000,30,30,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:29:08,韩龙盼,2026-05-14 09:59:51,丛焕楷,,,D001630-W260514-0002,LFEF086
577,KRRM04320870,AE海运,2026-05-14 09:58:05,威海泓信优选分拨仓,13300.000,21,21,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:47:34,韩龙盼,2026-05-14 10:08:30,丛焕楷,,,D001630-W260514-0002,LFEF086
578,KRRM04318639,AE海运,2026-05-14 09:58:05,威海泓信优选分拨仓,18000.000,16,16,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:27:14,韩龙盼,2026-05-14 09:59:50,丛焕楷,,,D001630-W260514-0002,LFEF086
579,KRRM04319970,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,6680.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:57:22,韩龙盼,2026-05-14 09:33:10,崔言芹,,,D001563-W260514-0005,LFEN119
580,KRRM04319731,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,7850.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:38:15,韩龙盼,2026-05-14 09:52:02,崔言芹,,,D001563-W260514-0005,LFEN119
581,KRRM04320351,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,970.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:54:21,韩龙盼,2026-05-14 09:31:10,崔言芹,,,D001563-W260514-0005,LFEN119
582,KRRM04319748,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2290.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:39:51,韩龙盼,2026-05-14 09:49:37,崔言芹,,,D001563-W260514-0005,LFEN119
583,KRRM04318532,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,6710.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:05:04,韩龙盼,2026-05-14 09:27:49,崔言芹,,,D001563-W260514-0005,LFEN119
584,KRRM04319776,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,9180.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:40:13,韩龙盼,2026-05-14 09:49:21,崔言芹,,,D001563-W260514-0005,LFEN119
585,KRRM04319960,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,4170.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:44:47,韩龙盼,2026-05-14 09:36:44,崔言芹,,,D001563-W260514-0005,LFEN119
586,KRRM04319752,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,1510.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:50:20,韩龙盼,2026-05-14 09:36:21,崔言芹,,,D001563-W260514-0005,LFEN119
587,KRRM04320353,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,6790.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:55:12,韩龙盼,2026-05-14 09:30:31,崔言芹,,,D001563-W260514-0005,LFEN119
588,KRRM04318686,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2310.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:00:50,韩龙盼,2026-05-14 09:28:53,崔言芹,,,D001563-W260514-0005,LFEN119
589,KRRM04319643,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,6340.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:38:01,韩龙盼,2026-05-14 09:51:59,崔言芹,,,D001563-W260514-0005,LFEN119
590,KRRM04319773,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,6190.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:44:40,韩龙盼,2026-05-14 09:37:16,崔言芹,,,D001563-W260514-0005,LFEN119
591,KRRM04318730,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3180.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:59:38,韩龙盼,2026-05-14 09:28:43,崔言芹,,,D001563-W260514-0005,LFEN119
592,KRRM04318598,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3020.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:03:58,韩龙盼,2026-05-14 09:26:49,崔言芹,,,D001563-W260514-0005,LFEN119
593,KRRM04318523,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5420.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:01:01,韩龙盼,2026-05-14 09:26:21,崔言芹,,,D001563-W260514-0005,LFEN119
594,KRRM04320243,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,12320.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:01:36,韩龙盼,2026-05-14 09:29:51,崔言芹,,,D001563-W260514-0005,LFEN119
595,KRRM04318803,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5640.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:01:23,韩龙盼,2026-05-14 09:27:29,崔言芹,,,D001563-W260514-0005,LFEN119
596,KRRM04319794,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5330.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:54:18,韩龙盼,2026-05-14 09:31:32,崔言芹,,,D001563-W260514-0005,LFEN119
597,KRRM04320362,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3810.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:59:55,韩龙盼,2026-05-14 09:30:45,崔言芹,,,D001563-W260514-0005,LFEN119
598,KRRM04320312,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,9560.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:55:40,韩龙盼,2026-05-14 09:31:04,崔言芹,,,D001563-W260514-0005,LFEN119
599,KRRM04319954,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,4450.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:53:45,韩龙盼,2026-05-14 09:34:34,崔言芹,,,D001563-W260514-0005,LFEN119
600,KRRM04318518,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5950.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:00:58,韩龙盼,2026-05-14 09:26:17,崔言芹,,,D001563-W260514-0005,LFEN119
601,KRRM04320199,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2900.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:59:34,韩龙盼,2026-05-14 09:30:57,崔言芹,,,D001563-W260514-0005,LFEN119
602,KRRM04319550,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,4810.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:44:37,韩龙盼,2026-05-14 09:36:38,崔言芹,,,D001563-W260514-0005,LFEN119
603,KRRM04320266,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3720.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:59:51,韩龙盼,2026-05-14 09:29:29,崔言芹,,,D001563-W260514-0005,LFEN119
604,KRRM04319962,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2400.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:44:17,韩龙盼,2026-05-14 09:37:25,崔言芹,,,D001563-W260514-0005,LFEN119
605,KRRM04319781,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5850.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:57:27,韩龙盼,2026-05-14 09:33:23,崔言芹,,,D001563-W260514-0005,LFEN119
606,KRRM04319967,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,10300.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:39:38,韩龙盼,2026-05-14 09:49:01,崔言芹,,,D001563-W260514-0005,LFEN119
607,KRRM04319713,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3880.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:55:16,韩龙盼,2026-05-14 09:33:29,崔言芹,,,D001563-W260514-0005,LFEN119
608,KRRM04319596,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3250.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:55:31,韩龙盼,2026-05-14 09:33:34,崔言芹,,,D001563-W260514-0005,LFEN119
609,KRRM04319636,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5680.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:56:08,韩龙盼,2026-05-14 09:33:50,崔言芹,,,D001563-W260514-0005,LFEN119
610,KRRM04320365,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3720.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:55:05,韩龙盼,2026-05-14 09:30:16,崔言芹,,,D001563-W260514-0005,LFEN119
611,KRRM04320187,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,7690.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:02:49,韩龙盼,2026-05-14 09:29:42,崔言芹,,,D001563-W260514-0005,LFEN119
612,KRRM04318805,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3180.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:02:15,韩龙盼,2026-05-14 09:28:48,崔言芹,,,D001563-W260514-0005,LFEN119
613,KRRM04319549,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3190.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:36:27,韩龙盼,2026-05-14 09:52:24,崔言芹,,,D001563-W260514-0005,LFEN119
614,KRRM04318606,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,4110.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:51:43,韩龙盼,2026-05-14 09:26:19,崔言芹,,,D001563-W260514-0005,LFEN119
615,KRRM04319640,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3870.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:44:24,韩龙盼,2026-05-14 09:37:12,崔言芹,,,D001563-W260514-0005,LFEN119
616,KRRM04320186,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,4100.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:01:15,韩龙盼,2026-05-14 09:30:03,崔言芹,,,D001563-W260514-0005,LFEN119
617,KRRM04318685,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2360.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:01:31,韩龙盼,2026-05-14 09:27:24,崔言芹,,,D001563-W260514-0005,LFEN119
618,KRRM04319738,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5100.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:55:19,韩龙盼,2026-05-14 09:34:54,崔言芹,,,D001563-W260514-0005,LFEN119
619,KRRM04319769,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3540.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:44:10,韩龙盼,2026-05-14 09:37:44,崔言芹,,,D001563-W260514-0005,LFEN119
620,KRRM04320270,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5710.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:00:41,韩龙盼,2026-05-14 09:30:09,崔言芹,,,D001563-W260514-0005,LFEN119
621,KRRM04319718,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2280.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:56:23,韩龙盼,2026-05-14 09:33:48,崔言芹,,,D001563-W260514-0005,LFEN119
622,KRRM04320192,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,9220.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:01:33,韩龙盼,2026-05-14 09:29:32,崔言芹,,,D001563-W260514-0005,LFEN119
623,KRRM04320315,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,1730.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:54:09,韩龙盼,2026-05-14 09:30:39,崔言芹,,,D001563-W260514-0005,LFEN119
624,KRRM04320250,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,4070.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:59:47,韩龙盼,2026-05-14 09:29:26,崔言芹,,,D001563-W260514-0005,LFEN119
625,KRRM04319770,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,9200.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:37:21,韩龙盼,2026-05-14 09:49:27,崔言芹,,,D001563-W260514-0005,LFEN119
626,KRRM04319953,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,6200.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:57:12,韩龙盼,2026-05-14 09:31:38,崔言芹,,,D001563-W260514-0005,LFEN119
627,KRRM04318617,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2910.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:01:14,韩龙盼,2026-05-14 09:28:28,崔言芹,,,D001563-W260514-0005,LFEN119
628,KRRM04319922,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5010.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:56:18,韩龙盼,2026-05-14 09:31:27,崔言芹,,,D001563-W260514-0005,LFEN119
629,KRRM04320241,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3160.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:00:45,韩龙盼,2026-05-14 09:30:05,崔言芹,,,D001563-W260514-0005,LFEN119
630,KRRM04318612,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5900.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:00:55,韩龙盼,2026-05-14 09:26:18,崔言芹,,,D001563-W260514-0005,LFEN119
631,KRRM04319726,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2710.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:36:10,韩龙盼,2026-05-14 09:52:12,崔言芹,,,D001563-W260514-0005,LFEN119
632,KRRM04318690,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,7250.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:59:23,韩龙盼,2026-05-14 09:26:46,崔言芹,,,D001563-W260514-0005,LFEN119
633,KRRM04319762,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2410.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:36:25,韩龙盼,2026-05-14 09:51:54,崔言芹,,,D001563-W260514-0005,LFEN119
634,KRRM04320197,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,8800.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:02:58,韩龙盼,2026-05-14 09:29:56,崔言芹,,,D001563-W260514-0005,LFEN119
635,KRRM04319728,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,9130.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:34:21,韩龙盼,2026-05-14 09:52:07,崔言芹,,,D001563-W260514-0005,LFEN119
636,KRRM04318684,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,5080.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:59:45,韩龙盼,2026-05-14 09:28:20,崔言芹,,,D001563-W260514-0005,LFEN119
637,KRRM04319789,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2720.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:56:27,韩龙盼,2026-05-14 09:33:05,崔言芹,,,D001563-W260514-0005,LFEN119
638,KRRM04319725,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2280.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:38:17,韩龙盼,2026-05-14 09:52:22,崔言芹,,,D001563-W260514-0005,LFEN119
639,KRRM04319784,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2960.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:39:45,韩龙盼,2026-05-14 09:49:07,崔言芹,,,D001563-W260514-0005,LFEN119
640,KRRM04319777,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2480.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:40:17,韩龙盼,2026-05-14 09:49:05,崔言芹,,,D001563-W260514-0005,LFEN119
641,KRRM04319774,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3620.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:37:17,韩龙盼,2026-05-14 09:49:34,崔言芹,,,D001563-W260514-0005,LFEN119
642,KRRM04319971,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,10760.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:54:24,韩龙盼,2026-05-14 09:31:58,崔言芹,,,D001563-W260514-0005,LFEN119
643,KRRM04319763,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,12990.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:34:13,韩龙盼,2026-05-14 09:51:55,崔言芹,,,D001563-W260514-0005,LFEN119
644,KRRM04319717,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,2950.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:36:34,韩龙盼,2026-05-14 09:52:25,崔言芹,,,D001563-W260514-0005,LFEN119
645,KRRM04319754,AE海运,2026-05-14 09:25:58,威海心怡优选分拨仓,3190.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:36:31,韩龙盼,2026-05-14 09:52:18,崔言芹,,,D001563-W260514-0005,LFEN119
646,KRRM04319880,AE海运,2026-05-14 09:25:57,威海心怡优选分拨仓,9090.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 12:55:42,韩龙盼,2026-05-14 09:33:07,崔言芹,,,D001563-W260514-0005,LFEN119
